cell_type,cells_total,cells_series,cells_parallel,pack_voltage,pack_current,capacity (kWh),resistance_total,weight (lbs),cost (USD)
LIR 18650,12644.0,109.0,116.0,400,300,121.64,0.07,1293.48,nan
LIR 18650,12644.0,109.0,116.0,400,301,121.64,0.07,1293.48,nan
LIR 18650,12753.0,109.0,117.0,400,302,122.68,0.07,1304.63,nan
LIR 18650,12753.0,109.0,117.0,400,303,122.68,0.07,1304.63,nan
LIR 18650,12753.0,109.0,117.0,400,304,122.68,0.07,1304.63,nan
LIR 18650,12862.0,109.0,118.0,400,305,123.73,0.06,1315.78,nan
LIR 18650,12862.0,109.0,118.0,400,306,123.73,0.06,1315.78,nan
LIR 18650,12971.0,109.0,119.0,400,307,124.78,0.06,1326.93,nan
LIR 18650,12971.0,109.0,119.0,400,308,124.78,0.06,1326.93,nan
LIR 18650,12971.0,109.0,119.0,400,309,124.78,0.06,1326.93,nan
LIR 18650,13080.0,109.0,120.0,400,310,125.83,0.06,1338.08,nan
LIR 18650,13080.0,109.0,120.0,400,311,125.83,0.06,1338.08,nan
LIR 18650,13080.0,109.0,120.0,400,312,125.83,0.06,1338.08,nan
LIR 18650,13189.0,109.0,121.0,400,313,126.88,0.06,1349.23,nan
LIR 18650,13189.0,109.0,121.0,400,314,126.88,0.06,1349.23,nan
LIR 18650,13298.0,109.0,122.0,400,315,127.93,0.06,1360.39,nan
LIR 18650,13298.0,109.0,122.0,400,316,127.93,0.06,1360.39,nan
LIR 18650,13298.0,109.0,122.0,400,317,127.93,0.06,1360.39,nan
LIR 18650,13407.0,109.0,123.0,400,318,128.98,0.06,1371.54,nan
LIR 18650,13407.0,109.0,123.0,400,319,128.98,0.06,1371.54,nan
LIR 18650,13516.0,109.0,124.0,400,320,130.02,0.06,1382.69,nan
LIR 18650,13516.0,109.0,124.0,400,321,130.02,0.06,1382.69,nan
LIR 18650,13516.0,109.0,124.0,400,322,130.02,0.06,1382.69,nan
LIR 18650,13625.0,109.0,125.0,400,323,131.07,0.06,1393.84,nan
LIR 18650,13625.0,109.0,125.0,400,324,131.07,0.06,1393.84,nan
LIR 18650,13625.0,109.0,125.0,400,325,131.07,0.06,1393.84,nan
LIR 18650,13734.0,109.0,126.0,400,326,132.12,0.06,1404.99,nan
LIR 18650,13734.0,109.0,126.0,400,327,132.12,0.06,1404.99,nan
LIR 18650,13843.0,109.0,127.0,400,328,133.17,0.06,1416.14,nan
LIR 18650,13843.0,109.0,127.0,400,329,133.17,0.06,1416.14,nan
LIR 18650,13843.0,109.0,127.0,400,330,133.17,0.06,1416.14,nan
LIR 18650,13952.0,109.0,128.0,400,331,134.22,0.06,1427.29,nan
LIR 18650,13952.0,109.0,128.0,400,332,134.22,0.06,1427.29,nan
LIR 18650,14061.0,109.0,129.0,400,333,135.27,0.06,1438.44,nan
LIR 18650,14061.0,109.0,129.0,400,334,135.27,0.06,1438.44,nan
LIR 18650,14061.0,109.0,129.0,400,335,135.27,0.06,1438.44,nan
LIR 18650,14170.0,109.0,130.0,400,336,136.32,0.06,1449.59,nan
LIR 18650,14170.0,109.0,130.0,400,337,136.32,0.06,1449.59,nan
LIR 18650,14170.0,109.0,130.0,400,338,136.32,0.06,1449.59,nan
LIR 18650,14279.0,109.0,131.0,400,339,137.36,0.06,1460.74,nan
LIR 18650,14279.0,109.0,131.0,400,340,137.36,0.06,1460.74,nan
LIR 18650,14388.0,109.0,132.0,400,341,138.41,0.06,1471.89,nan
LIR 18650,14388.0,109.0,132.0,400,342,138.41,0.06,1471.89,nan
LIR 18650,14388.0,109.0,132.0,400,343,138.41,0.06,1471.89,nan
