cell_type,cells_total,cells_series,cells_parallel,pack_voltage,pack_current,capacity (kWh),resistance_total,weight (lbs),cost (USD)
LIR 18650,16965.0,195.0,87.0,720,225,163.2,0.16,1735.52,nan
LIR 18650,16965.0,195.0,87.0,720,226,163.2,0.16,1735.52,nan
LIR 18650,17160.0,195.0,88.0,720,227,165.08,0.16,1755.47,nan
LIR 18650,17160.0,195.0,88.0,720,228,165.08,0.16,1755.47,nan
LIR 18650,17355.0,195.0,89.0,720,229,166.96,0.15,1775.42,nan
LIR 18650,17355.0,195.0,89.0,720,230,166.96,0.15,1775.42,nan
LIR 18650,17355.0,195.0,89.0,720,231,166.96,0.15,1775.42,nan
LIR 18650,17550.0,195.0,90.0,720,232,168.83,0.15,1795.37,nan
LIR 18650,17550.0,195.0,90.0,720,233,168.83,0.15,1795.37,nan
LIR 18650,17550.0,195.0,90.0,720,234,168.83,0.15,1795.37,nan
LIR 18650,17745.0,195.0,91.0,720,235,170.71,0.15,1815.31,nan
LIR 18650,17745.0,195.0,91.0,720,236,170.71,0.15,1815.31,nan
LIR 18650,17940.0,195.0,92.0,720,237,172.58,0.15,1835.26,nan
LIR 18650,17940.0,195.0,92.0,720,238,172.58,0.15,1835.26,nan
LIR 18650,17940.0,195.0,92.0,720,239,172.58,0.15,1835.26,nan
LIR 18650,18135.0,195.0,93.0,720,240,174.46,0.15,1855.21,nan
LIR 18650,18135.0,195.0,93.0,720,241,174.46,0.15,1855.21,nan
LIR 18650,18330.0,195.0,94.0,720,242,176.33,0.15,1875.16,nan
LIR 18650,18330.0,195.0,94.0,720,243,176.33,0.15,1875.16,nan
LIR 18650,18330.0,195.0,94.0,720,244,176.33,0.15,1875.16,nan
LIR 18650,18525.0,195.0,95.0,720,245,178.21,0.14,1895.11,nan
LIR 18650,18525.0,195.0,95.0,720,246,178.21,0.14,1895.11,nan
LIR 18650,18525.0,195.0,95.0,720,247,178.21,0.14,1895.11,nan
LIR 18650,18720.0,195.0,96.0,720,248,180.09,0.14,1915.06,nan
LIR 18650,18720.0,195.0,96.0,720,249,180.09,0.14,1915.06,nan
LIR 18650,18915.0,195.0,97.0,720,250,181.96,0.14,1935.0,nan
LIR 18650,18915.0,195.0,97.0,720,251,181.96,0.14,1935.0,nan
