cell_type,cells_total,cells_series,cells_parallel,pack_voltage,pack_current,capacity (kWh),resistance_total,weight (lbs),cost (USD)
LIR 18650,1092.0,28.0,39.0,100,100,10.51,0.05,111.71,1092.0
LIR 18650,1092.0,28.0,39.0,100,101,10.51,0.05,111.71,1092.0
LIR 18650,1120.0,28.0,40.0,100,102,10.77,0.05,114.58,1120.0
LIR 18650,1120.0,28.0,40.0,100,103,10.77,0.05,114.58,1120.0
LIR 18650,1120.0,28.0,40.0,100,104,10.77,0.05,114.58,1120.0
LIR 18650,1148.0,28.0,41.0,100,105,11.04,0.05,117.44,1148.0
LIR 18650,1148.0,28.0,41.0,100,106,11.04,0.05,117.44,1148.0
LIR 18650,1176.0,28.0,42.0,100,107,11.31,0.05,120.3,1176.0
LIR 18650,1176.0,28.0,42.0,100,108,11.31,0.05,120.3,1176.0
LIR 18650,1176.0,28.0,42.0,100,109,11.31,0.05,120.3,1176.0
LIR 18650,1092.0,28.0,39.0,101,100,10.51,0.05,111.71,1092.0
LIR 18650,1092.0,28.0,39.0,101,101,10.51,0.05,111.71,1092.0
LIR 18650,1120.0,28.0,40.0,101,102,10.77,0.05,114.58,1120.0
LIR 18650,1120.0,28.0,40.0,101,103,10.77,0.05,114.58,1120.0
LIR 18650,1120.0,28.0,40.0,101,104,10.77,0.05,114.58,1120.0
LIR 18650,1148.0,28.0,41.0,101,105,11.04,0.05,117.44,1148.0
LIR 18650,1148.0,28.0,41.0,101,106,11.04,0.05,117.44,1148.0
LIR 18650,1176.0,28.0,42.0,101,107,11.31,0.05,120.3,1176.0
LIR 18650,1176.0,28.0,42.0,101,108,11.31,0.05,120.3,1176.0
LIR 18650,1176.0,28.0,42.0,101,109,11.31,0.05,120.3,1176.0
LIR 18650,1092.0,28.0,39.0,102,100,10.51,0.05,111.71,1092.0
LIR 18650,1092.0,28.0,39.0,102,101,10.51,0.05,111.71,1092.0
LIR 18650,1120.0,28.0,40.0,102,102,10.77,0.05,114.58,1120.0
LIR 18650,1120.0,28.0,40.0,102,103,10.77,0.05,114.58,1120.0
LIR 18650,1120.0,28.0,40.0,102,104,10.77,0.05,114.58,1120.0
LIR 18650,1148.0,28.0,41.0,102,105,11.04,0.05,117.44,1148.0
LIR 18650,1148.0,28.0,41.0,102,106,11.04,0.05,117.44,1148.0
LIR 18650,1176.0,28.0,42.0,102,107,11.31,0.05,120.3,1176.0
LIR 18650,1176.0,28.0,42.0,102,108,11.31,0.05,120.3,1176.0
LIR 18650,1176.0,28.0,42.0,102,109,11.31,0.05,120.3,1176.0
LIR 18650,1092.0,28.0,39.0,103,100,10.51,0.05,111.71,1092.0
LIR 18650,1092.0,28.0,39.0,103,101,10.51,0.05,111.71,1092.0
LIR 18650,1120.0,28.0,40.0,103,102,10.77,0.05,114.58,1120.0
LIR 18650,1120.0,28.0,40.0,103,103,10.77,0.05,114.58,1120.0
LIR 18650,1120.0,28.0,40.0,103,104,10.77,0.05,114.58,1120.0
LIR 18650,1148.0,28.0,41.0,103,105,11.04,0.05,117.44,1148.0
LIR 18650,1148.0,28.0,41.0,103,106,11.04,0.05,117.44,1148.0
LIR 18650,1176.0,28.0,42.0,103,107,11.31,0.05,120.3,1176.0
LIR 18650,1176.0,28.0,42.0,103,108,11.31,0.05,120.3,1176.0
LIR 18650,1176.0,28.0,42.0,103,109,11.31,0.05,120.3,1176.0
LIR 18650,1131.0,29.0,39.0,104,100,10.88,0.05,115.7,1131.0
LIR 18650,1131.0,29.0,39.0,104,101,10.88,0.05,115.7,1131.0
LIR 18650,1160.0,29.0,40.0,104,102,11.16,0.05,118.67,1160.0
LIR 18650,1160.0,29.0,40.0,104,103,11.16,0.05,118.67,1160.0
LIR 18650,1160.0,29.0,40.0,104,104,11.16,0.05,118.67,1160.0
LIR 18650,1189.0,29.0,41.0,104,105,11.44,0.05,121.63,1189.0
LIR 18650,1189.0,29.0,41.0,104,106,11.44,0.05,121.63,1189.0
LIR 18650,1218.0,29.0,42.0,104,107,11.72,0.05,124.6,1218.0
LIR 18650,1218.0,29.0,42.0,104,108,11.72,0.05,124.6,1218.0
LIR 18650,1218.0,29.0,42.0,104,109,11.72,0.05,124.6,1218.0
